Name,Ratings,Votes
Sons of Anarchy,8.6,328K
Through the Wormhole,8.6,19K
The Office,8.5,124K
Derry Girls,8.5,62K
Neon Genesis Evangelion,8.5,88K
Regular Show,8.5,60K
Formula 1: Drive to Survive,8.5,52K
Twin Peaks,8.5,77K
Trailer Park Boys,8.5,52K
Spartacus: Gods of the Arena,8.5,147K
Shameless,8.5,293K
Skam,8.6,39K
Brass Eye,8.6,12K
North & South,8.6,35K
Schitt's Creek,8.5,149K
Heartstopper,8.6,79K
Silicon Valley,8.5,168K
Futurama,8.5,264K
Fullmetal Alchemist,8.5,79K
Doctor Who,8.5,251K
Rurouni Kenshin: Trust and Betrayal,8.6,16K
The Expanse,8.5,175K
Hannibal,8.5,280K
Extraordinary Attorney Woo,8.6,28K
Letterkenny,8.6,30K
From the Earth to the Moon,8.6,13K
My Brilliant Friend,8.6,18K
Alchemy of Souls,8.7,19K
Avrupa Yakasi,8.6,22K
Wentworth,8.6,25K
Tash ma Tash,9.0,10K
Umbre,8.7,12K
The Rehearsal,8.5,27K
Your Lie in April,8.5,39K
Westworld,8.5,538K
Community,8.5,297K
Gintama,8.7,16K
Tear Along the Dotted Line,8.6,15K
